STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total,shortCode
A & N ISLANDS,2001,Others (Please Specify),1,4,5,4,1,15,0,1,0,0,0,1,16,AN
A & N ISLANDS,2001,House Wife,0,0,0,0,0,0,0,21,9,5,3,38,38,AN
A & N ISLANDS,2001,Service (Government),0,3,10,7,0,20,0,0,0,0,0,0,20,AN
A & N ISLANDS,2001,Service (Private),0,14,7,9,2,32,0,0,0,0,0,0,32,AN
A & N ISLANDS,2001,Public Sector Undertaking,0,2,1,1,0,4,0,0,0,0,0,0,4,AN
A & N ISLANDS,2001,Student,1,2,0,0,0,3,2,9,0,0,0,11,14,AN
A & N ISLANDS,2001,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0,AN
A & N ISLANDS,2001,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0,AN
A & N ISLANDS,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,AN
A & N ISLANDS,2001,Farming/Agriculture Activity,0,0,0,0,3,3,0,0,0,0,0,0,3,AN
A & N ISLANDS,2001,Retired Person,0,0,0,0,2,2,0,0,0,0,0,0,2,AN
A & N ISLANDS,2001,Total,2,25,23,21,8,79,2,31,9,5,3,50,129,AN
A & N ISLANDS,2001,Total Salaried,0,19,18,17,2,56,0,0,0,0,0,0,56,AN
A & N ISLANDS,2001,Total Self-employed,1,4,5,4,4,18,0,1,0,0,0,1,19,AN
ANDHRA PRADESH,2001,Others (Please Specify),61,703,759,668,203,2394,96,386,245,186,50,963,3357,AP
ANDHRA PRADESH,2001,House Wife,0,0,0,0,0,0,0,1132,811,397,104,2444,2444,AP
ANDHRA PRADESH,2001,Service (Government),0,34,57,44,0,135,0,23,22,9,7,61,196,AP
ANDHRA PRADESH,2001,Service (Private),1,250,275,138,10,674,5,43,24,28,6,106,780,AP
ANDHRA PRADESH,2001,Public Sector Undertaking,0,32,36,29,13,110,0,4,5,1,0,10,120,AP
ANDHRA PRADESH,2001,Student,56,202,19,18,0,295,46,115,5,9,0,175,470,AP
ANDHRA PRADESH,2001,Unemployed,1,230,206,94,12,543,1,57,12,8,0,78,621,AP
ANDHRA PRADESH,2001,Self-employed (Business activity),25,107,223,117,14,486,20,24,22,4,12,82,568,AP
ANDHRA PRADESH,2001,Professional Activity,13,118,157,80,22,390,5,22,4,10,0,41,431,AP
ANDHRA PRADESH,2001,Farming/Agriculture Activity,16,382,480,374,79,1331,12,65,46,45,10,178,1509,AP
ANDHRA PRADESH,2001,Retired Person,0,0,1,4,16,21,0,0,2,0,3,5,26,AP
ANDHRA PRADESH,2001,Total,173,2058,2213,1566,369,6379,185,1871,1198,697,192,4143,10522,AP
ANDHRA PRADESH,2001,Total Salaried,1,316,368,211,23,919,5,70,51,38,13,177,1096,AP
ANDHRA PRADESH,2001,Total Self-employed,83,906,1218,835,194,3236,75,323,226,137,38,799,4035,AP
ARUNACHAL PRADESH,2001,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0,AR
ARUNACHAL PRADESH,2001,House Wife,0,0,0,0,0,0,0,9,5,1,0,15,15,AR
ARUNACHAL PRADESH,2001,Service (Government),0,5,7,2,0,14,0,0,0,0,0,0,14,AR
ARUNACHAL PRADESH,2001,Service (Private),0,12,19,1,0,32,0,5,4,0,0,9,41,AR
ARUNACHAL PRADESH,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,AR
ARUNACHAL PRADESH,2001,Student,0,2,0,0,0,2,2,4,0,0,0,6,8,AR
ARUNACHAL PRADESH,2001,Unemployed,0,2,1,0,0,3,0,0,0,0,0,0,3,AR
ARUNACHAL PRADESH,2001,Self-employed (Business activity),0,2,6,3,1,12,0,0,0,0,0,0,12,AR
ARUNACHAL PRADESH,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,AR
ARUNACHAL PRADESH,2001,Farming/Agriculture Activity,2,1,5,4,0,12,0,5,0,0,0,5,17,AR
ARUNACHAL PRADESH,2001,Retired Person,0,0,0,1,0,1,0,0,0,0,0,0,1,AR
ARUNACHAL PRADESH,2001,Total,2,24,38,11,1,76,2,23,9,1,0,35,111,AR
